,layer,similarity
118,layer_22,0.035186767578125
119,layer_23,0.04803466796875
120,layer_24,0.05615234375
121,layer_25,0.01045989990234375
122,layer_26,0.0640869140625
123,layer_27,0.030517578125
124,layer_28,0.08697509765625
125,layer_29,0.1834716796875
126,layer_30,0.0977783203125
127,layer_31,0.13232421875
128,layer_0,0.049530029296875
129,layer_1,0.039215087890625
130,layer_2,0.05975341796875
131,layer_3,0.050445556640625
132,layer_4,0.05035400390625
133,layer_5,0.05084228515625
134,layer_6,0.0143585205078125
135,layer_7,0.0200347900390625
136,layer_8,0.01000213623046875
137,layer_9,0.030517578125
138,layer_10,0.048828125
139,layer_11,0.005741119384765625
140,layer_12,0.008636474609375
141,layer_13,0.0051727294921875
142,layer_14,0.0272674560546875
143,layer_15,0.08978271484375
144,layer_16,0.11236572265625
145,layer_17,0.008331298828125
146,layer_18,0.06329345703125
147,layer_19,0.138916015625
148,layer_20,0.05950927734375
149,layer_21,0.072998046875
150,layer_22,0.0023822784423828125
151,layer_23,0.03887939453125
152,layer_24,0.0888671875
153,layer_25,0.01526641845703125
154,layer_26,0.072998046875
155,layer_27,0.0516357421875
156,layer_28,0.10369873046875
157,layer_29,0.1854248046875
158,layer_30,0.07781982421875
159,layer_31,0.0677490234375
160,layer_0,0.030548095703125
161,layer_1,0.01122283935546875
162,layer_2,0.06085205078125
163,layer_3,0.040802001953125
164,layer_4,0.07720947265625
165,layer_5,0.079345703125
166,layer_6,0.01666259765625
167,layer_7,0.01009368896484375
168,layer_8,0.0130462646484375
169,layer_9,0.01514434814453125
170,layer_10,0.027496337890625
171,layer_11,0.004978179931640625
172,layer_12,6.335973739624023e-05
173,layer_13,0.0143280029296875
174,layer_14,0.0292510986328125
175,layer_15,0.0823974609375
176,layer_16,0.1009521484375
177,layer_17,0.0014209747314453125
178,layer_18,0.057403564453125
179,layer_19,0.1348876953125
180,layer_20,0.06427001953125
181,layer_21,0.0858154296875
182,layer_22,0.0299224853515625
183,layer_23,0.03216552734375
184,layer_24,0.0703125
185,layer_25,0.00522613525390625
186,layer_26,0.06585693359375
187,layer_27,0.0335693359375
188,layer_28,0.0855712890625
189,layer_29,0.185791015625
190,layer_30,0.10595703125
191,layer_31,0.12115478515625
192,layer_0,0.035369873046875
193,layer_1,0.04937744140625
194,layer_2,0.0675048828125
195,layer_3,0.0623779296875
196,layer_4,0.08447265625
197,layer_5,0.09014892578125
198,layer_6,0.0294342041015625
199,layer_7,0.01033782958984375
200,layer_8,0.005077362060546875
201,layer_9,0.01399993896484375
202,layer_10,0.033355712890625
203,layer_11,0.0070648193359375
204,layer_12,0.01306915283203125
205,layer_13,0.0200042724609375
206,layer_14,0.036773681640625
207,layer_15,0.08441162109375
208,layer_16,0.10516357421875
209,layer_17,0.01120758056640625
210,layer_18,0.06463623046875
211,layer_19,0.14208984375
212,layer_20,0.052490234375
213,layer_21,0.08038330078125
214,layer_22,0.0394287109375
215,layer_23,0.04638671875
216,layer_24,0.06640625
217,layer_25,0.016021728515625
218,layer_26,0.04302978515625
219,layer_27,0.046051025390625
220,layer_28,0.07208251953125
221,layer_29,0.1990966796875
222,layer_30,0.0792236328125
223,layer_31,0.074462890625
224,layer_0,0.03741455078125
225,layer_1,0.03759765625
226,layer_2,0.06671142578125
227,layer_3,0.057403564453125
228,layer_4,0.0897216796875
229,layer_5,0.0994873046875
230,layer_6,0.045135498046875
231,layer_7,0.0282745361328125
232,layer_8,0.005767822265625
233,layer_9,0.01212310791015625
234,layer_10,0.024169921875
235,layer_11,0.0167083740234375
236,layer_12,0.01114654541015625
237,layer_13,0.01654052734375
238,layer_14,0.055908203125
239,layer_15,0.0908203125
240,layer_16,0.0966796875
241,layer_17,0.01248931884765625
242,layer_18,0.050201416015625
243,layer_19,0.1265869140625
244,layer_20,0.04412841796875
245,layer_21,0.095458984375
246,layer_22,0.038330078125
247,layer_23,0.0477294921875
248,layer_24,0.0626220703125
249,layer_25,0.012298583984375
250,layer_26,0.044647216796875
251,layer_27,0.025909423828125
252,layer_28,0.07073974609375
253,layer_29,0.192626953125
254,layer_30,0.0982666015625
255,layer_31,0.103271484375
256,layer_0,0.0277252197265625
257,layer_1,0.034820556640625
258,layer_2,0.05145263671875
259,layer_3,0.06304931640625
260,layer_4,0.07733154296875
261,layer_5,0.1085205078125
262,layer_6,0.0217742919921875
263,layer_7,0.00090789794921875
264,layer_8,0.005283355712890625
265,layer_9,0.013031005859375
266,layer_10,0.03594970703125
267,layer_11,0.0002646446228027344
268,layer_12,0.00848388671875
269,layer_13,0.002933502197265625
270,layer_14,0.045745849609375
271,layer_15,0.08935546875
272,layer_16,0.0799560546875
273,layer_17,0.00017273426055908203
274,layer_18,0.040283203125
275,layer_19,0.10980224609375
276,layer_20,0.053497314453125
277,layer_21,0.07672119140625
278,layer_22,0.005825042724609375
